PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=1 ttl=63 time=42.0 ms
64 bytes from 10.0.2.22: icmp_seq=2 ttl=63 time=46.8 ms
64 bytes from 10.0.2.22: icmp_seq=3 ttl=63 time=132 ms
64 bytes from 10.0.2.22: icmp_seq=4 ttl=63 time=230 ms
64 bytes from 10.0.2.22: icmp_seq=5 ttl=63 time=337 ms
64 bytes from 10.0.2.22: icmp_seq=7 ttl=63 time=372 ms
64 bytes from 10.0.2.22: icmp_seq=10 ttl=63 time=312 ms
64 bytes from 10.0.2.22: icmp_seq=11 ttl=63 time=245 ms
64 bytes from 10.0.2.22: icmp_seq=12 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=13 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=14 ttl=63 time=153 ms
64 bytes from 10.0.2.22: icmp_seq=15 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=16 ttl=63 time=146 ms
64 bytes from 10.0.2.22: icmp_seq=17 ttl=63 time=146 ms
64 bytes from 10.0.2.22: icmp_seq=18 ttl=63 time=149 ms
64 bytes from 10.0.2.22: icmp_seq=19 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=20 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=21 ttl=63 time=152 ms
64 bytes from 10.0.2.22: icmp_seq=22 ttl=63 time=135 ms
64 bytes from 10.0.2.22: icmp_seq=23 ttl=63 time=101 ms
64 bytes from 10.0.2.22: icmp_seq=24 ttl=63 time=97.3 ms
64 bytes from 10.0.2.22: icmp_seq=25 ttl=63 time=91.1 ms
64 bytes from 10.0.2.22: icmp_seq=26 ttl=63 time=141 ms
64 bytes from 10.0.2.22: icmp_seq=27 ttl=63 time=99.4 ms
64 bytes from 10.0.2.22: icmp_seq=28 ttl=63 time=107 ms
64 bytes from 10.0.2.22: icmp_seq=29 ttl=63 time=107 ms
64 bytes from 10.0.2.22: icmp_seq=30 ttl=63 time=108 ms
64 bytes from 10.0.2.22: icmp_seq=31 ttl=63 time=105 ms
64 bytes from 10.0.2.22: icmp_seq=32 ttl=63 time=375 ms
64 bytes from 10.0.2.22: icmp_seq=33 ttl=63 time=129 ms
64 bytes from 10.0.2.22: icmp_seq=34 ttl=63 time=105 ms
64 bytes from 10.0.2.22: icmp_seq=35 ttl=63 time=108 ms
64 bytes from 10.0.2.22: icmp_seq=36 ttl=63 time=112 ms
64 bytes from 10.0.2.22: icmp_seq=37 ttl=63 time=108 ms
64 bytes from 10.0.2.22: icmp_seq=38 ttl=63 time=105 ms
64 bytes from 10.0.2.22: icmp_seq=39 ttl=63 time=109 ms
64 bytes from 10.0.2.22: icmp_seq=40 ttl=63 time=107 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=63 time=111 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=63 time=280 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=63 time=278 ms
64 bytes from 10.0.2.22: icmp_seq=44 ttl=63 time=112 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=63 time=123 ms
64 bytes from 10.0.2.22: icmp_seq=46 ttl=63 time=115 ms
64 bytes from 10.0.2.22: icmp_seq=47 ttl=63 time=117 ms
64 bytes from 10.0.2.22: icmp_seq=48 ttl=63 time=117 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=63 time=119 ms
64 bytes from 10.0.2.22: icmp_seq=50 ttl=63 time=118 ms
64 bytes from 10.0.2.22: icmp_seq=51 ttl=63 time=126 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=63 time=217 ms
64 bytes from 10.0.2.22: icmp_seq=53 ttl=63 time=124 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=63 time=204 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=63 time=121 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=63 time=123 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=63 time=122 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=63 time=127 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=63 time=125 ms
64 bytes from 10.0.2.22: icmp_seq=60 ttl=63 time=127 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=63 time=128 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=63 time=132 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=63 time=131 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=63 time=133 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=63 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=63 time=133 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=63 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=63 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=63 time=135 ms
64 bytes from 10.0.2.22: icmp_seq=70 ttl=63 time=139 ms
64 bytes from 10.0.2.22: icmp_seq=71 ttl=63 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=72 ttl=63 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=73 ttl=63 time=138 ms
64 bytes from 10.0.2.22: icmp_seq=74 ttl=63 time=136 ms
64 bytes from 10.0.2.22: icmp_seq=75 ttl=63 time=141 ms
64 bytes from 10.0.2.22: icmp_seq=76 ttl=63 time=141 ms
64 bytes from 10.0.2.22: icmp_seq=77 ttl=63 time=146 ms
64 bytes from 10.0.2.22: icmp_seq=78 ttl=63 time=142 ms
64 bytes from 10.0.2.22: icmp_seq=79 ttl=63 time=144 ms
64 bytes from 10.0.2.22: icmp_seq=80 ttl=63 time=149 ms
64 bytes from 10.0.2.22: icmp_seq=81 ttl=63 time=150 ms
64 bytes from 10.0.2.22: icmp_seq=82 ttl=63 time=143 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=63 time=144 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=63 time=145 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=63 time=169 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=63 time=442 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=63 time=445 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=63 time=226 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=155 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=162 ms
